village,year,month,depth_meters
Takurkheda,2024,1,7.5
Dharangaon,2024,1,3.0
Erandol,2024,1,5.0
Kasoda,2024,1,2.7
Pimpalkhede,2024,1,2.6
Pimpalkotha,2024,1,6.1
Chinchpare Bk,2024,1,4.9
Eklagne Bk,2024,1,7.0
Jalgaon,2024,1,1.4
Jalgaon,2024,1,1.4
Jalgaon,2024,1,3.6
Jalgaon,2024,1,3.2
Jalgaon,2024,1,2.2
Kusumbe,2024,1,8.0
Naseerabad,2024,1,3.3
Bhankhede,2024,1,14.0
Jamner,2024,1,4.4
Jamner,2024,1,6.2
Kekat Nimbhora,2024,1,11.1
Neri,2024,1,8.0
Shendurni,2024,1,5.2
Shengola,2024,1,9.3
Vakdi,2024,1,2.0
Mendhoda,2024,1,14.4
Muktai Nagar,2024,1,1.6
Narvel,2024,1,23.1
Sirsala,2024,1,7.2
Vichve,2024,1,1.1
Hadsan,2024,1,5.0
Lasgaon,2024,1,11.5
Pachora,2024,1,2.4
Pasardi,2024,1,3.9
Varkhedi,2024,1,2.4
Ambapimpri,2024,1,13.8
Parola,2024,1,3.2
Ratnapimpri,2024,1,10.0
Talwade Kd,2024,1,3.6
Balvadi,2024,1,3.8
Khanapur-Vita,2024,1,13.5
Khiroda,2024,1,22.3
Raver,2024,1,12.0
Vivra,2024,1,34.9
Dangarda,2024,1,3.3
Faizpur,2024,1,50.3
Kingaon,2024,1,24.7
Sakli,2024,1,30.2
Sangvi Bk,2024,1,46.6
Waghijhira,2024,1,12.4
Yawal,2024,1,32.5
Ambad,2024,1,2.9
Ambad,2024,1,13.7
Bondalpuri,2024,1,4.2
Dungaon,2024,1,9.0
Gansawangi,2024,1,10.3
Sahapur,2024,1,11.7
Shirner,2024,1,7.5
Sukhapuri,2024,1,4.8
Tirthpuri,2024,1,4.0
Wadigodri,2024,1,3.4
Banegaon,2024,1,11.2
Baranjala Lokhande,2024,1,2.7
Bhokardhan,2024,1,3.2
Bhokardhan,2024,1,5.5
Danapur,2024,1,5.0
Hasnabad,2024,1,11.0
Khandala,2024,1,3.4
Longaon,2024,1,11.2
Malkheda,2024,1,6.0
Pimpalgaon Renukai,2024,1,8.6
Rajur,2024,1,6.8
Siphora,2024,1,4.8
Talegaon,2024,1,4.3
Wadhona,2024,1,6.1
Wakdi,2024,1,8.0
Jafrabad,2024,1,6.9
Kolhapur,2024,1,11.1
Kumbari,2024,1,8.0
Tembhurni,2024,1,12.7
Tembhurni,2024,1,7.4
Warud,2024,1,5.7
Badnapur,2024,1,5.0
Bavne Pangri,2024,1,3.0
Borkhedi,2024,1,8.9
Chanegaon,2024,1,8.1
Gondegaon,2024,1,8.0
Jalna,2024,1,7.0
